ID,Latitude,Longitude,poi,lat,long,distance
1417218,40.68884,-73.95059,Statue of Liberty,40.6891078,-74.0440954,
1417770,40.6865,-73.95372,Statue of Liberty,40.6891078,-74.0440954,
1418875,40.76373,-73.96897,Statue of Liberty,40.6891078,-74.0440954,
1420532,40.72257,-73.98465,Statue of Liberty,40.6891078,-74.0440954,
1421636,40.69135,-73.97321,Statue of Liberty,40.6891078,-74.0440954,
1422189,40.70513,-73.95505,Statue of Liberty,40.6891078,-74.0440954,
1422741,40.73301,-74.00268,Statue of Liberty,40.6891078,-74.0440954,
1423846,40.80285,-73.95166,Statue of Liberty,40.6891078,-74.0440954,
1424950,40.68156,-73.96537,Statue of Liberty,40.6891078,-74.0440954,
1425502,40.77368,-73.95198,Statue of Liberty,40.6891078,-74.0440954,
1426055,40.68631,-73.93702,Statue of Liberty,40.6891078,-74.0440954,
1427159,40.67847,-73.97038,Statue of Liberty,40.6891078,-74.0440954,
1428816,40.73168,-73.98662,Statue of Liberty,40.6891078,-74.0440954,
1429369,40.65689,-73.9533,Statue of Liberty,40.6891078,-74.0440954,
1430473,40.77117,-73.91905,Statue of Liberty,40.6891078,-74.0440954,
1431025,40.73729,-74.00807,Statue of Liberty,40.6891078,-74.0440954,
1433235,40.68255,-73.91957,Statue of Liberty,40.6891078,-74.0440954,
1433787,40.67392,-73.94662,Statue of Liberty,40.6891078,-74.0440954,
1435996,40.6433,-73.97386,Statue of Liberty,40.6891078,-74.0440954,
1436548,40.71601,-73.99123,Statue of Liberty,40.6891078,-74.0440954,
1437101,40.68106,-73.9292,Statue of Liberty,40.6891078,-74.0440954,
1437653,40.68131,-73.98879,Statue of Liberty,40.6891078,-74.0440954,
1440967,40.76001,-73.99133,Statue of Liberty,40.6891078,-74.0440954,
1442071,40.73362,-74.00923,Statue of Liberty,40.6891078,-74.0440954,
1445385,40.68991,-73.93179,Statue of Liberty,40.6891078,-74.0440954,
1446490,40.68174,-73.91921,Statue of Liberty,40.6891078,-74.0440954,
1448147,40.69018,-73.98107,Statue of Liberty,40.6891078,-74.0440954,
1449251,40.72948,-73.98694,Statue of Liberty,40.6891078,-74.0440954,
1451461,40.7253,-73.99916,Statue of Liberty,40.6891078,-74.0440954,
1452565,40.71947,-73.95252,Statue of Liberty,40.6891078,-74.0440954,
1453117,40.71283,-73.99703,Statue of Liberty,40.6891078,-74.0440954,
1453670,40.77338,-73.98887,Statue of Liberty,40.6891078,-74.0440954,
1454222,40.67385,-73.94405,Statue of Liberty,40.6891078,-74.0440954,
1454774,40.76856,-73.91828,Statue of Liberty,40.6891078,-74.0440954,
1459193,40.76444,-73.92607,Statue of Liberty,40.6891078,-74.0440954,
1461954,40.73857,-73.95435,Statue of Liberty,40.6891078,-74.0440954,
1462507,40.711,-73.96225,Statue of Liberty,40.6891078,-74.0440954,
1463059,40.70686,-73.95365,Statue of Liberty,40.6891078,-74.0440954,
1464163,40.71095,-73.95239,Statue of Liberty,40.6891078,-74.0440954,
1464716,40.70918,-73.94881,Statue of Liberty,40.6891078,-74.0440954,
1465268,40.71685,-73.96573,Statue of Liberty,40.6891078,-74.0440954,
1466373,40.71143,-73.94159,Statue of Liberty,40.6891078,-74.0440954,
1467477,40.66469,-73.96091,Statue of Liberty,40.6891078,-74.0440954,
1469134,40.69309,-73.97074,Statue of Liberty,40.6891078,-74.0440954,
1472448,40.72509,-74.00304,Statue of Liberty,40.6891078,-74.0440954,
1479076,40.79044,-73.97513,Statue of Liberty,40.6891078,-74.0440954,
1479628,40.72668,-73.95762,Statue of Liberty,40.6891078,-74.0440954,
1481837,40.69348,-73.95927,Statue of Liberty,40.6891078,-74.0440954,
1482942,40.67679,-73.95639,Statue of Liberty,40.6891078,-74.0440954,
1485151,40.72209,-73.99274,Statue of Liberty,40.6891078,-74.0440954,
1487912,40.80343,-73.9531,Statue of Liberty,40.6891078,-74.0440954,
1488465,40.70462,-73.9228,Statue of Liberty,40.6891078,-74.0440954,
1489017,40.71394,-73.96267,Statue of Liberty,40.6891078,-74.0440954,
1490674,40.8076,-73.94433,Statue of Liberty,40.6891078,-74.0440954,
1491226,40.66485,-73.98343,Statue of Liberty,40.6891078,-74.0440954,
1491778,40.71279,-73.95852,Statue of Liberty,40.6891078,-74.0440954,
1492883,40.83456,-73.9457,Statue of Liberty,40.6891078,-74.0440954,
1495645,40.71336,-73.96192,Statue of Liberty,40.6891078,-74.0440954,
1496749,40.71368,-73.94478,Statue of Liberty,40.6891078,-74.0440954,
1497301,40.7761,-73.95265,Statue of Liberty,40.6891078,-74.0440954,
1497854,40.77471,-73.95574,Statue of Liberty,40.6891078,-74.0440954,
1498406,40.68625,-73.96446,Statue of Liberty,40.6891078,-74.0440954,
1498958,40.725,-73.98851,Statue of Liberty,40.6891078,-74.0440954,
1499511,40.74016,-73.97665,Statue of Liberty,40.6891078,-74.0440954,
1500615,40.78867,-73.96809,Statue of Liberty,40.6891078,-74.0440954,
1502272,40.71638,-73.99167,Statue of Liberty,40.6891078,-74.0440954,
1502824,40.86658,-73.92558,Statue of Liberty,40.6891078,-74.0440954,
1503377,40.71179,-73.96449,Statue of Liberty,40.6891078,-74.0440954,
1505034,40.82772,-73.93877,Statue of Liberty,40.6891078,-74.0440954,
1506138,40.63759,-73.9459,Statue of Liberty,40.6891078,-74.0440954,
1506691,40.63611,-73.94637,Statue of Liberty,40.6891078,-74.0440954,
1507243,40.803,-73.95278,Statue of Liberty,40.6891078,-74.0440954,
1507795,40.79526,-73.9655,Statue of Liberty,40.6891078,-74.0440954,
1511109,40.75782,-73.99349,Statue of Liberty,40.6891078,-74.0440954,
1511661,40.83177,-73.95,Statue of Liberty,40.6891078,-74.0440954,
1513318,40.64372,-74.02066,Statue of Liberty,40.6891078,-74.0440954,
1513870,40.72886,-74.00013,Statue of Liberty,40.6891078,-74.0440954,
1514423,40.71868,-73.99017,Statue of Liberty,40.6891078,-74.0440954,
